finding,raddino_ft_val,raddino_ft_test,ci_lo,ci_hi,test_auprc,n_pos_test
Enlarged Cardiomediastinum,0.5901864338676446,0.6378777096941219,0.6018077694514006,0.6747429995994983,0.087011411940849,227
Cardiomegaly,0.7297446366361742,0.7250535522204674,0.7048396085738934,0.7453944256359945,0.2724974538146227,619
Lung Opacity,0.6082481228956726,0.601164456702108,0.5856446893897568,0.6163832548742411,0.5676253523659619,2456
Lung Lesion,0.7111483632058503,0.7168973141172618,0.6813957754715448,0.7469819729165492,0.07246061798433508,172
Edema,0.72688736085932,0.7439230661209952,0.7296798548902619,0.7592288650202871,0.4664723027284806,1281
Consolidation,0.6233176880599944,0.6268876712262823,0.5984627235205993,0.6562021310197393,0.10794703668862861,358
Pneumonia,0.5950433031001572,0.5696895089591028,0.5205422331428493,0.6166664204837004,0.031213043527358493,126
Atelectasis,0.5641964333942944,0.5492647782482621,0.5278728357934602,0.5700077336384353,0.18089853874893316,792
Pneumothorax,0.732807023552648,0.7421364004262303,0.7154539690234538,0.7663830307650115,0.2918994629202854,459
Pleural Effusion,0.7387622448045409,0.7382328533480123,0.7251729183602598,0.7516862133244147,0.628030059637428,1995
Pleural Other,0.6829287112860133,0.7181879442774677,0.6587735339691946,0.7777878282991252,0.03332886759790903,68
Fracture,0.6364225796589084,0.6128049610296575,0.5714476384733584,0.6585804807802227,0.07993827564896575,191
Support Devices,0.8132739336406204,0.8219844112602159,0.810351909675118,0.8340575382044817,0.8270283082738463,2756
MEAN,0.6733051411509106,0.6772388175100142,0.668667568125841,0.6862370732561243,0.2804885178367388,
