finding,raddino_ft_val,raddino_ft_test,ci_lo,ci_hi,test_auprc,n_pos_test
Enlarged Cardiomediastinum,0.7147620540587414,0.7123664026652953,0.6938973557982857,0.7287467608492874,0.14407990161814152,901
Cardiomegaly,0.8743531654221057,0.8738476936046652,0.8667738078076628,0.8813117606043283,0.536732496763903,2292
Lung Opacity,0.7346460983167677,0.7345355010692005,0.7273461387926221,0.7412237131940921,0.6873658491475378,9272
Lung Lesion,0.8335103925631902,0.8225108951956304,0.8074835935436646,0.8393032829919992,0.22101462019439858,674
Edema,0.8392244930607748,0.838318749239836,0.8321429069271905,0.8443413792735782,0.613433794722716,4875
Consolidation,0.7443912969073776,0.7515477062719182,0.7394835234543476,0.7637204888509839,0.18434236166792414,1285
Pneumonia,0.7741222651858622,0.7845080971707937,0.7621775922880791,0.8052409765814104,0.12300287886567857,460
Atelectasis,0.719073364325095,0.7097658166096539,0.7007628972910642,0.7186612961697691,0.303983490947554,2939
Pneumothorax,0.9141108208091172,0.9059766550172395,0.89771061959234,0.9142064198212196,0.5616010485357025,1683
Pleural Effusion,0.8807718067787087,0.8851631323042952,0.8805118462489646,0.889583472942059,0.8261804428334306,7549
Pleural Other,0.859358232851868,0.8845247192966995,0.863711472819383,0.9033770135471864,0.15439931750289734,246
Fracture,0.8112304970776474,0.8377829971490254,0.823526120524036,0.8522007832423059,0.2417305258874455,731
Support Devices,0.9015006120558536,0.9012120168467692,0.8965691578716511,0.9059668891882465,0.8961246580121064,10491
MEAN,0.8154657768779315,0.8186200294185402,0.8150406309075342,0.8220337696719646,0.42261472205380274,
