finding,raddino_ft_mlp_val,raddino_ft_mlp_test,ci_lo,ci_hi,test_auprc,n_pos_test
Enlarged Cardiomediastinum,0.7198626926966754,0.7121677315405859,0.6942682155745962,0.7283036973362911,0.1438557059630713,901
Cardiomegaly,0.8723280893914844,0.8674723211084653,0.8597781854656993,0.8754783148460716,0.5242220514347662,2292
Lung Opacity,0.7317264260457821,0.7323668306467251,0.7250180878840914,0.7387778981874924,0.6899397036283668,9272
Lung Lesion,0.8286508900287379,0.8255683070000353,0.809598174822854,0.8412661320804629,0.2206194189496728,674
Edema,0.838072008021463,0.8377589146515408,0.8318755566058388,0.8435308643124423,0.6170766370199148,4875
Consolidation,0.7421144562503319,0.7464077138121625,0.7336332989643279,0.7587428189642214,0.1879185532862627,1285
Pneumonia,0.7748543359058574,0.7811333073983495,0.7594527838325097,0.8012089862392461,0.11933585979625153,460
Atelectasis,0.7154417073965957,0.7031133575123194,0.6939459754454834,0.7127100663836532,0.291512353207658,2939
Pneumothorax,0.9106539802059184,0.9005857468780695,0.8925464457153178,0.9089537683602791,0.5405997598818727,1683
Pleural Effusion,0.8769777901890233,0.8806891299500441,0.8760432480737127,0.8853710270753262,0.8227000287629604,7549
Pleural Other,0.8488422846691054,0.8811695207228726,0.860099685574585,0.9000302366761903,0.157603528433417,246
Fracture,0.8090323680621131,0.833965233472506,0.8199524547711489,0.848665815296721,0.23954712144830673,731
Support Devices,0.900166148146696,0.8988476079957344,0.8941370449797352,0.9034625877419279,0.8918933054640497,10491
MEAN,0.8129787059238295,0.8154804402068776,0.8118335434547997,0.8187128494562926,0.4189864636366592,
