finding,raddino_ft_val,raddino_ft_test,ci_lo,ci_hi,test_auprc,n_pos_test
Enlarged Cardiomediastinum,0.6261611501072253,0.6923420193064695,0.6552453496844021,0.7241960745277374,0.11714272416976748,227
Cardiomegaly,0.8594768313347236,0.8622038402722285,0.8466365087417537,0.8764377565154532,0.5044092859834207,619
Lung Opacity,0.7084619816672824,0.7076362374008973,0.6925690427511084,0.7223097596340621,0.6533959496680816,2456
Lung Lesion,0.8258727201666184,0.8112120912891853,0.7780844627867745,0.8412616885400229,0.19160784366501166,172
Edema,0.8277349986990643,0.82848555605863,0.8171888567145353,0.8408074138835239,0.5898594802021437,1281
Consolidation,0.7288798125051232,0.7113292166013975,0.6858125444521431,0.7358482251661379,0.14665645296867186,358
Pneumonia,0.7644092322496787,0.7481095023154932,0.7056116769271545,0.7903303422362131,0.10112704629746212,126
Atelectasis,0.6975146422205246,0.6905911539347851,0.6720521080873677,0.709044800758723,0.26638683379206674,792
Pneumothorax,0.8982473085134317,0.8759206244341677,0.8580686870623286,0.8938340172453084,0.4866616799915468,459
Pleural Effusion,0.871696767886152,0.8736214079291407,0.8636832789950472,0.8835537636601135,0.8118915723345541,1995
Pleural Other,0.815529641739891,0.8478513668241019,0.7994172585396689,0.8892877348678001,0.1326117430577106,68
Fracture,0.7734337935808995,0.7847769071733954,0.7506956648993326,0.8156983013455421,0.18427500850175593,191
Support Devices,0.8874579799270456,0.8890638703693643,0.8798915119726007,0.8989335097463178,0.8766643818324986,2756
MEAN,0.7911443738921277,0.7940879841468659,0.7867546683006456,0.80135792475955,0.38943769249728405,
