finding,raddino_ft_val,raddino_ft_test,ci_lo,ci_hi,test_auprc,n_pos_test
Enlarged Cardiomediastinum,0.6233896750656028,0.6912293914650232,0.652769160895294,0.7275206003004864,0.12317193142122358,227
Cardiomegaly,0.860383500509527,0.8678192178812976,0.8518300940321386,0.881469580315253,0.5167648387406649,619
Lung Opacity,0.7100357620634763,0.7078442218261529,0.6931633202464725,0.7225777415838912,0.6536332024952943,2456
Lung Lesion,0.8394125434506982,0.8034527273077591,0.7699704434265086,0.835383100512362,0.19068694189804092,172
Edema,0.8239693319964301,0.8275373060547994,0.8156013158147217,0.8399076944650175,0.5944939281018624,1281
Consolidation,0.7277408829746802,0.7083809714075275,0.6820520025749874,0.7328410520713183,0.147619204298381,358
Pneumonia,0.7545574179000509,0.7530344034755196,0.70983382064877,0.7940647895875478,0.09876445368057653,126
Atelectasis,0.7019945829571498,0.696237115691132,0.6773281019126142,0.7138396291532665,0.28296535236643283,792
Pneumothorax,0.902536105307623,0.8799238504278857,0.8624922956426927,0.8971917036664041,0.4884082045069548,459
Pleural Effusion,0.8673861523030156,0.870138824598935,0.8601085345821826,0.8794347722624242,0.8068830284770077,1995
Pleural Other,0.8415013294494761,0.8562568579743333,0.8088634572736748,0.8975576077649459,0.11145298907443726,68
Fracture,0.7755189059954011,0.7864742046707799,0.7493338563964641,0.8194960958262534,0.18114284972820183,191
Support Devices,0.8845911265625653,0.8892883037236534,0.8800595226466741,0.899301595909454,0.8739152862778159,2756
MEAN,0.7933090243488997,0.7952013381926768,0.7882002848899408,0.8025909689634204,0.3899924777743765,
